Date,ios_file_size,ios_all_ratings,ios_current_ratings
21-07-2016 00:00,110,106508,4688
21-07-2016 00:10,110,106508,4688
21-07-2016 00:20,110,106508,4688
21-07-2016 00:30,110,106508,4688
21-07-2016 00:40,110,106508,4688
21-07-2016 00:50,110,106508,4688
21-07-2016 01:00,110,106508,4688
21-07-2016 01:10,110,106508,4688
21-07-2016 01:20,110,106508,4688
21-07-2016 01:30,110,106508,4688
21-07-2016 01:40,110,106508,4688
21-07-2016 01:50,110,106508,4688
21-07-2016 02:00,110,106508,4688
21-07-2016 02:10,110,106508,4688
21-07-2016 02:20,110,106508,4688
21-07-2016 02:30,110,106508,4688
21-07-2016 02:40,110,106508,4688
21-07-2016 02:50,110,106508,4688
21-07-2016 03:00,110,106508,4688
21-07-2016 03:10,110,106508,4688
21-07-2016 03:20,110,107460,5668
21-07-2016 03:30,110,106508,5668
21-07-2016 03:40,110,107460,5668
21-07-2016 03:50,110,107460,5668
21-07-2016 04:00,110,107460,5668
21-07-2016 04:10,110,107460,5668
21-07-2016 04:20,110,107460,5668
21-07-2016 04:30,110,107460,5668
21-07-2016 04:40,110,107460,5668
21-07-2016 04:50,110,107460,5668
21-07-2016 05:00,110,107460,5668
21-07-2016 05:10,110,107460,5668
21-07-2016 05:20,110,107460,5668
21-07-2016 05:30,110,107460,5668
21-07-2016 05:40,110,107460,5668
21-07-2016 05:50,110,107460,5668
21-07-2016 06:00,110,107460,5668
21-07-2016 06:10,110,107460,5668
21-07-2016 06:20,110,107460,5668
21-07-2016 06:30,110,107460,5668
21-07-2016 06:40,110,107460,5668
21-07-2016 06:50,110,107460,5668
21-07-2016 07:00,110,107460,5668
21-07-2016 07:10,110,107460,5668
21-07-2016 07:20,110,107460,5668
21-07-2016 07:30,110,107460,5668
21-07-2016 07:40,110,107460,5668
21-07-2016 07:50,110,107460,5668
21-07-2016 08:00,110,107460,5668
21-07-2016 08:10,110,107460,5668
21-07-2016 08:20,110,107460,5668
21-07-2016 08:30,110,107460,5668
21-07-2016 08:40,110,107460,5668
