Unnamed: 0,android_total_ratings,ios_file_size,ios_current_ratings,ios_all_ratings,android_avg_rating,android_rating_1,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_file_size
7/21/2016 10:10,1305525,110,5668,107460,3.9,202746,169779,740436,72566,119998,58
7/21/2016 10:20,1305525,110,5668,107460,3.9,202746,169779,740436,72566,119998,58
7/21/2016 10:30,1305525,110,5668,107460,3.9,202746,169779,740436,72566,119998,58
7/21/2016 10:40,1305525,110,5668,107460,3.9,202746,169779,740436,72566,119998,58
7/21/2016 10:50,1305525,110,5668,107460,3.9,202746,169779,740436,72566,119998,58
7/21/2016 11:00,1305525,110,5668,107972,3.9,202746,169779,740436,72566,119998,58
7/21/2016 11:10,1305525,110,6203,107460,3.9,202746,169779,740436,72566,119998,58
7/21/2016 11:20,1305525,110,6203,107972,3.9,202746,169779,740436,72566,119998,58
7/21/2016 11:30,1305525,110,6203,107972,3.9,202746,169779,740436,72566,119998,58
7/21/2016 11:40,1305525,110,6203,107972,3.9,202746,169779,740436,72566,119998,58
7/21/2016 11:50,1305525,110,6203,107972,3.9,202746,169779,740436,72566,119998,58
7/21/2016 12:00,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 12:10,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 12:20,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 12:30,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 12:40,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 12:50,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 13:00,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 13:10,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 13:20,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 13:30,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 13:40,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 13:50,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 14:00,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 14:10,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 14:20,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 14:30,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 14:40,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 14:50,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 15:00,1319394,110,6203,107972,3.9,204585,171872,748562,73093,121282,58
7/21/2016 15:10,1319394,110,6203,108570,3.9,204585,171872,748562,73093,121282,58
7/21/2016 15:20,1319394,110,6842,108570,3.9,204585,171872,748562,73093,121282,58
7/21/2016 15:30,1319394,110,6842,108570,3.9,204585,171872,748562,73093,121282,58
7/21/2016 15:40,1319394,110,6842,108570,3.9,204585,171872,748562,73093,121282,58
7/21/2016 15:50,1319394,110,6842,108570,3.9,204585,171872,748562,73093,121282,58
7/21/2016 16:00,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 16:10,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 16:20,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 16:30,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 16:40,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 16:50,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 17:00,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 17:10,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 17:20,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 17:30,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 17:40,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 17:50,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 18:00,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 18:10,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 18:20,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 18:30,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 18:40,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 18:50,1334278,110,6842,108570,3.9,206305,174065,757714,73640,122554,58
7/21/2016 19:00,1334278,110,6842,108886,3.9,206305,174065,757714,73640,122554,58
7/21/2016 19:10,1334278,110,6842,108886,3.9,206305,174065,757714,73640,122554,58
7/21/2016 19:20,1334278,110,7231,108886,3.9,206305,174065,757714,73640,122554,58
7/21/2016 19:30,1334278,110,7231,108886,3.9,206305,174065,757714,73640,122554,58
7/21/2016 19:40,1334278,110,7231,108886,3.9,206305,174065,757714,73640,122554,58
7/21/2016 19:50,1334278,110,7231,108886,3.9,206305,174065,757714,73640,122554,58
7/21/2016 20:00,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 20:10,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 20:20,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 20:30,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 20:40,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 20:50,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 21:00,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 21:10,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 21:20,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 21:30,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 21:40,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 21:50,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 22:00,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 22:10,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 22:20,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 22:30,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 22:40,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 22:50,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 23:00,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 23:10,1344609,110,7231,108886,3.9,207257,175799,764122,73972,123459,58
