,Unnamed: 0,android_total_ratings,android_avg_rating,android_file_size,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_rating_1
65,2016-07-21 10:50:00,1305525,3.9,58.0,169779,740436,72566,119998,202746
66,2016-07-21 11:00:00,1305525,3.9,58.0,169779,740436,72566,119998,202746
67,2016-07-21 11:10:00,1305525,3.9,58.0,169779,740436,72566,119998,202746
68,2016-07-21 11:20:00,1305525,3.9,58.0,169779,740436,72566,119998,202746
69,2016-07-21 11:30:00,1305525,3.9,58.0,169779,740436,72566,119998,202746
70,2016-07-21 11:40:00,1305525,3.9,58.0,169779,740436,72566,119998,202746
71,2016-07-21 11:50:00,1305525,3.9,58.0,169779,740436,72566,119998,202746
72,2016-07-21 12:00:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
73,2016-07-21 12:10:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
74,2016-07-21 12:20:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
75,2016-07-21 12:30:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
76,2016-07-21 12:40:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
77,2016-07-21 12:50:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
78,2016-07-21 13:00:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
79,2016-07-21 13:10:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
80,2016-07-21 13:20:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
81,2016-07-21 13:30:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
82,2016-07-21 13:40:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
83,2016-07-21 13:50:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
84,2016-07-21 14:00:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
85,2016-07-21 14:10:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
86,2016-07-21 14:20:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
87,2016-07-21 14:30:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
88,2016-07-21 14:40:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
89,2016-07-21 14:50:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
90,2016-07-21 15:00:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
91,2016-07-21 15:10:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
92,2016-07-21 15:20:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
93,2016-07-21 15:30:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
94,2016-07-21 15:40:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
95,2016-07-21 15:50:00,1319394,3.9,58.0,171872,748562,73093,121282,204585
96,2016-07-21 16:00:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
97,2016-07-21 16:10:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
98,2016-07-21 16:20:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
99,2016-07-21 16:30:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
100,2016-07-21 16:40:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
101,2016-07-21 16:50:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
102,2016-07-21 17:00:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
103,2016-07-21 17:10:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
104,2016-07-21 17:20:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
105,2016-07-21 17:30:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
106,2016-07-21 17:40:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
107,2016-07-21 17:50:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
108,2016-07-21 18:00:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
109,2016-07-21 18:10:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
110,2016-07-21 18:20:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
